Code,File Code,Barcode,Storage,Legal entity,Team,Team type,City,Description,Last return day,Location,Status,Create date,Updated at
000000000121,SHA0000211126,SH1813018,A003002,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-2/13 ,,,IN,,2018/6/26 16:59
000000000122,SHA0000211127,SH1813018,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-3/13 ,,,IN,,2018/6/26 16:59
000000000123,SHA0000211128,SH1813018,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-4/13 ,,,IN,,2018/6/26 16:59
000000000124,SHA0000211129,SH1813018,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-5/13 ,,,IN,,2018/6/26 16:59
000000000125,SHA0000211130,SH1813018,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-6/13 ,,,IN,,2018/6/26 16:59
000000000126,SHA0000211131,SH1813018,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-7/13 ,,,IN,,2018/6/26 16:59
000000000127,SHA0000211132,SH1813019,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-8/13 ,,,IN,,2018/6/26 16:59
000000000128,SHA0000211133,SH1813019,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-9/13 ,,,IN,,2018/6/26 16:59
000000000129,SHA0000211134,SH1813019,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-10/13 ,,,IN,,2018/6/26 16:59
000000000130,SHA0000211135,SH1813019,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-11/13 ,,,IN,,2018/6/26 16:59
000000000131,SHA0000211136,SH1813019,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-12/13 ,,,IN,,2018/6/26 16:59
000000000132,SHA0000211137,SH1813019,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-04~04-13/13 ,,,IN,,2018/6/26 16:59
000000000133,SHA0000211138,SH1813019,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-1/9 ,,,IN,,2018/6/26 16:59
000000000134,SHA0000211139,SH1813019,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-2/9 ,,,IN,,2018/6/26 16:59
000000000135,SHA0000211140,SH1813020,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-3/9 ,,,IN,,2018/6/26 16:59
000000000136,SHA0000211141,SH1813020,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-4/9 ,,,IN,,2018/6/26 16:59
000000000137,SHA0000211142,SH1813020,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-5/9 ,,,IN,,2018/6/26 16:59
000000000138,SHA0000211143,SH1813020,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-6/9 ,,,IN,,2018/6/26 16:59
000000000139,SHA0000211144,SH1813020,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-7/9 ,,,IN,,2018/6/26 16:59
000000000140,SHA0000211145,SH1813020,A003003,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ DP 2017-05~05-8/9 ,,,IN,,2018/6/26 16:59
000000000153,SHA0000211285,SH1813038,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-1/5 ,,,IN,,2018/6/26 16:59
000000000154,SHA0000211286,SH1813038,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-2/5 ,,,IN,,2018/6/26 16:59
000000000155,SHA0000211287,SH1813038,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-3/5 ,,,IN,,2018/6/26 16:59
000000000156,SHA0000211288,SH1813038,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-4/5 ,,,IN,,2018/6/26 16:59
000000000157,SHA0000211289,SH1813038,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-01~01-5/5 ,,,IN,,2018/6/26 16:59
000000000158,SHA0000211290,SH1813039,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-02~02-1/4 ,,,IN,,2018/6/26 16:59
000000000159,SHA0000211291,SH1813039,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-02~02-2/4 ,,,IN,,2018/6/26 16:59
000000000160,SHA0000211292,SH1813039,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-02~02-3/4 ,,,IN,,2018/6/26 16:59
000000000161,SHA0000211293,SH1813039,A005001,90402-RHQ,Accounting-Trade,RHQ,SH,RHQ Reimbursement 2017-02~02-4/4 ,,,IN,,2018/6/26 16:59
